,SeriesInstanceUID,StudyInstanceUID
0,1.3.6.1.4.1.14519.5.2.1.7085.2626.148053825589776776409518959919,1.3.6.1.4.1.14519.5.2.1.7085.2626.516657155938666334599803966375
1,1.3.6.1.4.1.14519.5.2.1.7085.2626.214499715277052479934949837971,1.3.6.1.4.1.14519.5.2.1.7085.2626.516657155938666334599803966375
2,1.3.6.1.4.1.14519.5.2.1.7085.2626.856753295502640840189082947131,1.3.6.1.4.1.14519.5.2.1.7085.2626.516657155938666334599803966375
3,1.3.6.1.4.1.14519.5.2.1.7085.2626.102029758637413286556725475726,1.3.6.1.4.1.14519.5.2.1.7085.2626.516657155938666334599803966375
4,1.3.6.1.4.1.14519.5.2.1.7085.2626.333441789555064875806274328553,1.3.6.1.4.1.14519.5.2.1.7085.2626.516657155938666334599803966375
5,1.3.6.1.4.1.14519.5.2.1.7085.2626.304004672518821933835703147431,1.3.6.1.4.1.14519.5.2.1.7085.2626.319528262033369309008695071705
6,1.3.6.1.4.1.14519.5.2.1.7085.2626.153029131325624177679863317846,1.3.6.1.4.1.14519.5.2.1.7085.2626.319528262033369309008695071705
7,1.3.6.1.4.1.14519.5.2.1.7085.2626.197796944575121102191649072456,1.3.6.1.4.1.14519.5.2.1.7085.2626.319528262033369309008695071705
8,1.3.6.1.4.1.14519.5.2.1.7085.2626.636798940929261691281068594155,1.3.6.1.4.1.14519.5.2.1.7085.2626.319528262033369309008695071705
9,1.3.6.1.4.1.14519.5.2.1.7085.2626.153546936839616389198083538864,1.3.6.1.4.1.14519.5.2.1.7085.2626.319528262033369309008695071705
10,1.3.6.1.4.1.14519.5.2.1.7085.2626.843937073923484147625934797916,1.3.6.1.4.1.14519.5.2.1.7085.2626.530721211546371663086573559407
11,1.3.6.1.4.1.14519.5.2.1.7085.2626.225674198661718618502934829346,1.3.6.1.4.1.14519.5.2.1.7085.2626.530721211546371663086573559407
12,1.3.6.1.4.1.14519.5.2.1.7085.2626.183013810123674734067396988189,1.3.6.1.4.1.14519.5.2.1.7085.2626.530721211546371663086573559407
13,1.3.6.1.4.1.14519.5.2.1.7085.2626.213188116871005244657824076491,1.3.6.1.4.1.14519.5.2.1.7085.2626.530721211546371663086573559407
14,1.3.6.1.4.1.14519.5.2.1.7085.2626.528977868264741093213393273496,1.3.6.1.4.1.14519.5.2.1.7085.2626.530721211546371663086573559407
15,1.3.6.1.4.1.14519.5.2.1.7085.2626.301142247038228279409525890042,1.3.6.1.4.1.14519.5.2.1.7085.2626.530721211546371663086573559407
16,1.3.6.1.4.1.14519.5.2.1.7085.2626.125799085699514327388183074874,1.3.6.1.4.1.14519.5.2.1.7085.2626.530721211546371663086573559407
17,1.3.6.1.4.1.14519.5.2.1.7085.2626.337691051761299291101336120376,1.3.6.1.4.1.14519.5.2.1.7085.2626.530721211546371663086573559407
18,1.3.6.1.4.1.14519.5.2.1.7085.2626.742081267012730723864785431128,1.3.6.1.4.1.14519.5.2.1.7085.2626.290767319769896645657710726154
19,1.3.6.1.4.1.14519.5.2.1.7085.2626.300160274650063972695563496119,1.3.6.1.4.1.14519.5.2.1.7085.2626.290767319769896645657710726154
20,1.3.6.1.4.1.14519.5.2.1.7085.2626.188526514666985362209797561269,1.3.6.1.4.1.14519.5.2.1.7085.2626.290767319769896645657710726154
21,1.3.6.1.4.1.14519.5.2.1.7085.2626.458324287780274717621230797046,1.3.6.1.4.1.14519.5.2.1.7085.2626.290767319769896645657710726154
22,1.3.6.1.4.1.14519.5.2.1.7085.2626.989696767199546345786817779730,1.3.6.1.4.1.14519.5.2.1.7085.2626.290767319769896645657710726154
23,1.3.6.1.4.1.14519.5.2.1.7085.2626.134351527001886140069971450771,1.3.6.1.4.1.14519.5.2.1.7085.2626.290767319769896645657710726154
24,1.3.6.1.4.1.14519.5.2.1.7085.2626.106800137320950870150015285994,1.3.6.1.4.1.14519.5.2.1.7085.2626.290767319769896645657710726154
25,1.3.6.1.4.1.14519.5.2.1.7085.2626.213066940603122595183454727066,1.3.6.1.4.1.14519.5.2.1.7085.2626.290767319769896645657710726154
26,1.3.6.1.4.1.14519.5.2.1.7085.2626.217674232282557125759990677658,1.3.6.1.4.1.14519.5.2.1.7085.2626.290767319769896645657710726154
27,1.3.6.1.4.1.14519.5.2.1.7085.2626.162560974155313422418987122506,1.3.6.1.4.1.14519.5.2.1.7085.2626.290767319769896645657710726154
28,1.3.6.1.4.1.14519.5.2.1.7085.2626.152735622958173032442459282420,1.3.6.1.4.1.14519.5.2.1.7085.2626.290767319769896645657710726154
29,1.3.6.1.4.1.14519.5.2.1.4801.2626.880045839170617872216698061042,1.3.6.1.4.1.14519.5.2.1.4801.2626.289066569210533121575958927132
30,1.3.6.1.4.1.14519.5.2.1.4801.2626.196942235200955672369793914335,1.3.6.1.4.1.14519.5.2.1.4801.2626.289066569210533121575958927132
31,1.3.6.1.4.1.14519.5.2.1.4801.2626.845109772944109489602334991058,1.3.6.1.4.1.14519.5.2.1.4801.2626.289066569210533121575958927132
32,1.3.6.1.4.1.14519.5.2.1.4801.2626.243499544705411829986430232598,1.3.6.1.4.1.14519.5.2.1.4801.2626.289066569210533121575958927132
33,1.3.6.1.4.1.14519.5.2.1.4801.2626.236052074576828233597412892124,1.3.6.1.4.1.14519.5.2.1.4801.2626.289066569210533121575958927132
34,1.3.6.1.4.1.14519.5.2.1.4801.2626.168556295168141312544464614066,1.3.6.1.4.1.14519.5.2.1.4801.2626.289066569210533121575958927132
35,1.3.6.1.4.1.14519.5.2.1.4801.2626.679140958739193401238833645043,1.3.6.1.4.1.14519.5.2.1.4801.2626.289066569210533121575958927132
36,1.3.6.1.4.1.14519.5.2.1.4801.2626.530613440606006073713716675564,1.3.6.1.4.1.14519.5.2.1.4801.2626.289066569210533121575958927132
37,1.3.6.1.4.1.14519.5.2.1.4801.2626.389482856545683073861245685934,1.3.6.1.4.1.14519.5.2.1.4801.2626.289066569210533121575958927132
38,1.3.6.1.4.1.14519.5.2.1.4801.2626.312224711690923832333191559819,1.3.6.1.4.1.14519.5.2.1.4801.2626.289066569210533121575958927132
39,1.3.6.1.4.1.14519.5.2.1.4801.2626.204469571996484265015230078222,1.3.6.1.4.1.14519.5.2.1.4801.2626.289066569210533121575958927132
40,1.3.6.1.4.1.14519.5.2.1.4801.2626.232878594558686815536843874890,1.3.6.1.4.1.14519.5.2.1.4801.2626.677387123262037592315545251999
41,1.3.6.1.4.1.14519.5.2.1.4801.2626.269709648212802082856445713734,1.3.6.1.4.1.14519.5.2.1.4801.2626.677387123262037592315545251999
42,1.3.6.1.4.1.14519.5.2.1.4801.2626.410503334486810648873090862579,1.3.6.1.4.1.14519.5.2.1.4801.2626.677387123262037592315545251999
43,1.3.6.1.4.1.14519.5.2.1.4801.2626.166265003001556531798989523011,1.3.6.1.4.1.14519.5.2.1.4801.2626.677387123262037592315545251999
44,1.3.6.1.4.1.14519.5.2.1.4801.2626.303661311214239701383674799591,1.3.6.1.4.1.14519.5.2.1.4801.2626.677387123262037592315545251999
45,1.3.6.1.4.1.14519.5.2.1.4801.2626.247620610883525119861587666296,1.3.6.1.4.1.14519.5.2.1.4801.2626.677387123262037592315545251999
46,1.3.6.1.4.1.14519.5.2.1.4801.2626.674836923377088330983742469506,1.3.6.1.4.1.14519.5.2.1.4801.2626.677387123262037592315545251999
47,1.3.6.1.4.1.14519.5.2.1.4801.2626.161165967588751215182582710516,1.3.6.1.4.1.14519.5.2.1.4801.2626.677387123262037592315545251999
48,1.3.6.1.4.1.14519.5.2.1.4801.2626.174781379561670216387121433330,1.3.6.1.4.1.14519.5.2.1.4801.2626.677387123262037592315545251999
49,1.3.6.1.4.1.14519.5.2.1.4801.2626.202602498780389059211958856756,1.3.6.1.4.1.14519.5.2.1.4801.2626.677387123262037592315545251999
50,1.3.6.1.4.1.14519.5.2.1.4801.2626.839152113565777972488271369513,1.3.6.1.4.1.14519.5.2.1.4801.2626.677387123262037592315545251999
51,1.3.6.1.4.1.14519.5.2.1.4801.2626.771882693514522297596130111152,1.3.6.1.4.1.14519.5.2.1.4801.2626.152991518859835512248866858217
52,1.3.6.1.4.1.14519.5.2.1.4801.2626.127341456336862753284531726049,1.3.6.1.4.1.14519.5.2.1.4801.2626.152991518859835512248866858217
53,1.3.6.1.4.1.14519.5.2.1.4801.2626.317820518376207113545717163310,1.3.6.1.4.1.14519.5.2.1.4801.2626.152991518859835512248866858217
54,1.3.6.1.4.1.14519.5.2.1.4801.2626.160129043163684069333155861953,1.3.6.1.4.1.14519.5.2.1.4801.2626.152991518859835512248866858217
55,1.3.6.1.4.1.14519.5.2.1.4801.2626.570843491061959582821453237501,1.3.6.1.4.1.14519.5.2.1.4801.2626.152991518859835512248866858217
56,1.3.6.1.4.1.14519.5.2.1.4801.2626.220306035466423804397636775335,1.3.6.1.4.1.14519.5.2.1.4801.2626.152991518859835512248866858217
57,1.3.6.1.4.1.14519.5.2.1.4801.2626.202324864800310191730518327015,1.3.6.1.4.1.14519.5.2.1.4801.2626.132226747695010673456515436960
58,1.3.6.1.4.1.14519.5.2.1.4801.2626.183133761688532139730626671782,1.3.6.1.4.1.14519.5.2.1.4801.2626.132226747695010673456515436960
59,1.3.6.1.4.1.14519.5.2.1.4801.2626.321854952662084850083135120159,1.3.6.1.4.1.14519.5.2.1.4801.2626.132226747695010673456515436960
60,1.3.6.1.4.1.14519.5.2.1.4801.2626.232096593736596498511681484294,1.3.6.1.4.1.14519.5.2.1.4801.2626.132226747695010673456515436960
61,1.3.6.1.4.1.14519.5.2.1.4801.2626.950237409414108797310236834630,1.3.6.1.4.1.14519.5.2.1.4801.2626.132226747695010673456515436960
62,1.3.6.1.4.1.14519.5.2.1.4801.2626.591516281106373681647857530300,1.3.6.1.4.1.14519.5.2.1.4801.2626.132226747695010673456515436960
63,1.3.6.1.4.1.14519.5.2.1.4801.2626.925410149756085192643959035158,1.3.6.1.4.1.14519.5.2.1.4801.2626.132226747695010673456515436960
64,1.3.6.1.4.1.14519.5.2.1.4801.2626.683663348358643060153354088618,1.3.6.1.4.1.14519.5.2.1.4801.2626.132226747695010673456515436960
65,1.3.6.1.4.1.14519.5.2.1.4801.2626.298046558655643829470379923923,1.3.6.1.4.1.14519.5.2.1.4801.2626.132226747695010673456515436960
66,1.3.6.1.4.1.14519.5.2.1.4801.2626.232414687957428220401391581521,1.3.6.1.4.1.14519.5.2.1.4801.2626.132226747695010673456515436960
67,1.3.6.1.4.1.14519.5.2.1.4801.2626.151823921227712803542081716834,1.3.6.1.4.1.14519.5.2.1.4801.2626.132226747695010673456515436960
68,1.3.6.1.4.1.14519.5.2.1.4801.2626.919121336060674224418797314201,1.3.6.1.4.1.14519.5.2.1.4801.2626.764921041005474451168824591200
69,1.3.6.1.4.1.14519.5.2.1.4801.2626.231271904065509133757603432139,1.3.6.1.4.1.14519.5.2.1.4801.2626.764921041005474451168824591200
70,1.3.6.1.4.1.14519.5.2.1.4801.2626.335124900817382668368378896368,1.3.6.1.4.1.14519.5.2.1.4801.2626.764921041005474451168824591200
71,1.3.6.1.4.1.14519.5.2.1.4801.2626.159925546537799800286282332607,1.3.6.1.4.1.14519.5.2.1.4801.2626.764921041005474451168824591200
72,1.3.6.1.4.1.14519.5.2.1.4801.2626.137096055013071906585163945205,1.3.6.1.4.1.14519.5.2.1.4801.2626.764921041005474451168824591200
73,1.3.6.1.4.1.14519.5.2.1.4801.2626.290028959625470204870593867916,1.3.6.1.4.1.14519.5.2.1.4801.2626.764921041005474451168824591200
74,1.3.6.1.4.1.14519.5.2.1.4801.2626.336422169725246899936875025811,1.3.6.1.4.1.14519.5.2.1.4801.2626.764921041005474451168824591200
75,1.3.6.1.4.1.14519.5.2.1.3320.3273.898750848523567821238128416147,1.3.6.1.4.1.14519.5.2.1.3320.3273.196330480031434901815324832087
76,1.3.6.1.4.1.14519.5.2.1.3320.3273.305399091069878477598340285682,1.3.6.1.4.1.14519.5.2.1.3320.3273.196330480031434901815324832087
77,1.3.6.1.4.1.14519.5.2.1.3320.3273.760297053780044963175555775271,1.3.6.1.4.1.14519.5.2.1.3320.3273.196330480031434901815324832087
78,1.3.6.1.4.1.14519.5.2.1.3320.3273.130865347581265276519376328445,1.3.6.1.4.1.14519.5.2.1.3320.3273.196330480031434901815324832087
79,1.3.6.1.4.1.14519.5.2.1.3320.3273.162649385279978280221469128442,1.3.6.1.4.1.14519.5.2.1.3320.3273.196330480031434901815324832087
80,1.3.6.1.4.1.14519.5.2.1.3320.3273.264980795427578279806548149416,1.3.6.1.4.1.14519.5.2.1.3320.3273.196330480031434901815324832087
81,1.3.6.1.4.1.14519.5.2.1.3320.3273.272860470936058033793869422228,1.3.6.1.4.1.14519.5.2.1.3320.3273.196330480031434901815324832087
82,1.3.6.1.4.1.14519.5.2.1.3320.3273.303460320208270006512652481277,1.3.6.1.4.1.14519.5.2.1.3320.3273.196330480031434901815324832087
83,1.3.6.1.4.1.14519.5.2.1.3320.3273.180310707470006597471633574587,1.3.6.1.4.1.14519.5.2.1.3320.3273.196330480031434901815324832087
84,1.3.6.1.4.1.14519.5.2.1.3320.3273.996351055929072290290472608687,1.3.6.1.4.1.14519.5.2.1.3320.3273.196330480031434901815324832087
85,1.3.6.1.4.1.14519.5.2.1.3320.3273.298119005550815475081515497057,1.3.6.1.4.1.14519.5.2.1.3320.3273.196330480031434901815324832087
86,1.3.6.1.4.1.14519.5.2.1.3320.3273.148654260493210832272217573207,1.3.6.1.4.1.14519.5.2.1.3320.3273.196330480031434901815324832087
