,SeriesInstanceUID,StudyInstanceUID
0,1.2.826.0.1.534147.667.2747872357.202341871540655,1.3.6.1.4.1.14519.5.2.1.3320.3273.357071961289985146348140536410
1,1.2.826.0.1.534147.667.2747872357.202341842357460.2,1.3.6.1.4.1.14519.5.2.1.3320.3273.119041692754915148586879613084
2,1.2.826.0.1.534147.667.2747872357.2023499584675.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.921901647081236446858497960801
3,1.2.826.0.1.534147.756.812677238.20233128540306.4,1.3.6.1.4.1.14519.5.2.1.6450.2626.173314636910490476033724315999
4,1.2.826.0.1.534147.667.2747872357.202341610339139.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.297324100053617614335336016519
5,1.2.826.0.1.534147.667.2747872357.202341764418353.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.260456621642028776932258433628
6,1.2.826.0.1.534147.756.812677238.202321654913835,1.3.6.1.4.1.14519.5.2.1.6450.2626.967845617438214712145537331881
7,1.2.826.0.1.534147.667.2747872357.20234105414267.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.563427116500580376452158678405
8,1.2.826.0.1.534147.667.2747872357.202341761829948.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.208397619884037475731120365907
9,1.2.826.0.1.534147.667.2747872357.20234187214439.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.357071961289985146348140536410
10,1.2.826.0.1.534147.667.2747872357.202349115759549.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.402154920027198112804195952074
11,1.2.826.0.1.534147.756.812677238.202323194447456,1.3.6.1.4.1.14519.5.2.1.6450.2626.142781207978873686417945717904
12,1.2.826.0.1.534147.667.2747872357.202341761039696.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.208397619884037475731120365907
13,1.2.826.0.1.534147.667.2747872357.202341764426676.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.260456621642028776932258433628
14,1.2.826.0.1.534147.756.812677238.202332166611.4,1.3.6.1.4.1.14519.5.2.1.6450.2626.476085580388245705155991328386
15,1.2.826.0.1.534147.756.812677238.20232177132741.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.182430557513680737689692466632
16,1.2.826.0.1.534147.667.2747872357.202341872158892.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.192664139982174570358822158980
17,1.2.826.0.1.534147.667.2747872357.20234995830141.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.921901647081236446858497960801
18,1.2.826.0.1.534147.667.2747872357.20234186534323.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.309521824160653805254980817690
19,1.2.826.0.1.534147.667.2747872357.20234234215421,1.3.6.1.4.1.14519.5.2.1.3320.3273.262736964774169022991607075940
20,1.2.826.0.1.534147.667.2747872357.202341751933510.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.189610219676126217462181578744
21,1.2.826.0.1.534147.667.2747872357.202341862535971.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.108239814565416110462120508363
22,1.2.826.0.1.534147.756.812677238.20232319451659.4,1.3.6.1.4.1.14519.5.2.1.6450.2626.142781207978873686417945717904
23,1.2.826.0.1.534147.667.2747872357.202341811511882.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.731749609509707710521529634482
24,1.2.826.0.1.534147.667.2747872357.202341891324460.2,1.3.6.1.4.1.14519.5.2.1.3320.3273.192838963258103923102154182370
25,1.2.826.0.1.534147.667.2747872357.202341871453254.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.357071961289985146348140536410
26,1.2.826.0.1.534147.685.39692665.20234411437130.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.174204562006846994671664826947
27,1.2.826.0.1.534147.667.2747872357.20234186428784.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.108239814565416110462120508363
28,1.2.826.0.1.534147.667.2747872357.20234187239646.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.357071961289985146348140536410
29,1.2.826.0.1.534147.667.2747872357.202341765525687.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.284747996538780275169584797539
30,1.2.826.0.1.534147.667.2747872357.2023410115343179.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.129581558191381046727115118754
31,1.2.826.0.1.534147.667.2747872357.202341761819923.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.208397619884037475731120365907
32,1.2.826.0.1.534147.667.2747872357.2023418101454834.4,1.3.6.1.4.1.14519.5.2.1.4801.5885.137423465625709771601265004154
33,1.2.826.0.1.534147.667.2747872357.202341861025404,1.3.6.1.4.1.14519.5.2.1.3320.3273.108239814565416110462120508363
34,1.2.826.0.1.534147.667.2747872357.202341765839325.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.284747996538780275169584797539
35,1.2.826.0.1.534147.667.2747872357.202341755520374.4,1.3.6.1.4.1.14519.5.2.1.6450.2626.272955509432106520123733663156
36,1.2.826.0.1.534147.756.812677238.2023215123314228.4,1.3.6.1.4.1.14519.5.2.1.6450.2626.848612250919504333517546576288
37,1.2.826.0.1.534147.667.2747872357.2023410115436221,1.3.6.1.4.1.14519.5.2.1.3320.3273.129581558191381046727115118754
38,1.2.826.0.1.534147.685.39692665.20234412858367.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.332243207923115392849573395441
39,1.2.826.0.1.534147.667.2747872357.20234184140731,1.3.6.1.4.1.14519.5.2.1.3320.3273.188384016643181993175785468213
40,1.2.826.0.1.534147.756.812677238.2023221102314513.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.185954815976928216791634731240
41,1.2.826.0.1.534147.756.812677238.2023220131140412.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.993908584890728956370034462128
42,1.2.826.0.1.534147.667.2747872357.20234187551719.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.146575486790369559415443871707
43,1.2.826.0.1.534147.667.2747872357.202341862547681.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.108239814565416110462120508363
44,1.2.826.0.1.534147.667.2747872357.202341753315482.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.189610219676126217462181578744
45,1.2.826.0.1.534147.667.2747872357.202341893944173.4,1.3.6.1.4.1.14519.5.2.1.7085.2626.315048091260390938035234632249
46,1.2.826.0.1.534147.667.2747872357.20234169270107.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.297324100053617614335336016519
47,1.2.826.0.1.534147.667.2747872357.2023418121535376.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.228290172296428533069650299235
48,1.2.826.0.1.534147.667.2747872357.2023410115415269.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.129581558191381046727115118754
49,1.2.826.0.1.534147.667.2747872357.2023418725882,1.3.6.1.4.1.14519.5.2.1.3320.3273.357071961289985146348140536410
50,1.2.826.0.1.534147.667.2747872357.202341710365621,1.3.6.1.4.1.14519.5.2.1.3320.3273.222790087209835257164504008519
51,1.2.826.0.1.534147.667.2747872357.2023410115445884.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.129581558191381046727115118754
52,1.2.826.0.1.534147.667.2747872357.20234101158239,1.3.6.1.4.1.14519.5.2.1.3320.3273.129581558191381046727115118754
53,1.2.826.0.1.534147.756.812677238.202321762732218.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.284747996538780275169584797539
54,1.2.826.0.1.534147.667.2747872357.2023416121222642.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.254663486881727398899474231028
55,1.2.826.0.1.534147.756.812677238.2023215121656549.4,1.3.6.1.4.1.14519.5.2.1.6450.2626.848612250919504333517546576288
56,1.2.826.0.1.534147.667.2747872357.202349113648982,1.3.6.1.4.1.14519.5.2.1.3320.3273.402154920027198112804195952074
57,1.2.826.0.1.534147.667.2747872357.2023410115155321.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.129581558191381046727115118754
58,1.2.826.0.1.534147.667.2747872357.202341872559363.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.357071961289985146348140536410
59,1.2.826.0.1.534147.667.2747872357.202341674529715.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.215385921227437994607826861983
60,1.2.826.0.1.534147.667.2747872357.20234186533970.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.309521824160653805254980817690
61,1.2.826.0.1.534147.667.2747872357.20234105354520.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.563427116500580376452158678405
62,1.2.826.0.1.534147.667.2747872357.20234189556745.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.192838963258103923102154182370
63,1.2.826.0.1.534147.667.2747872357.2023418105847772.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.731749609509707710521529634482
64,1.2.826.0.1.534147.667.2747872357.20234983721738.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.325425058352741134357984208891
65,1.2.826.0.1.534147.667.2747872357.202341874024769.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.270071326086866885547612334167
66,1.2.826.0.1.534147.756.812677238.20233129289853.4,1.3.6.1.4.1.14519.5.2.1.6450.2626.281124705870688952043505088769
67,1.2.826.0.1.534147.667.2747872357.202342341240927.4,1.3.6.1.4.1.14519.5.2.1.2932.1975.669849651815132593530795435161
68,1.2.826.0.1.534147.667.2747872357.2023417696352.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.208397619884037475731120365907
69,1.2.826.0.1.534147.667.2747872357.202341884449714.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.381157287391063291151751683785
70,1.2.826.0.1.534147.667.2747872357.202341765742428,1.3.6.1.4.1.14519.5.2.1.3320.3273.284747996538780275169584797539
71,1.2.826.0.1.534147.667.2747872357.2023417121841778,1.3.6.1.4.1.14519.5.2.1.3320.3273.381157287391063291151751683785
72,1.2.826.0.1.534147.667.2747872357.2023496341379,1.3.6.1.4.1.14519.5.2.1.3320.3273.174204562006846994671664826947
73,1.2.826.0.1.534147.667.2747872357.202341862055623.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.285777393888048531955987314771
74,1.2.826.0.1.534147.756.812677238.2023220104210515.4,1.3.6.1.4.1.14519.5.2.1.7085.2626.319528262033369309008695071705
75,1.2.826.0.1.534147.667.2747872357.2023410105149564.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.188210997343468364670884561790
76,1.2.826.0.1.534147.667.2747872357.202341841925122.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.119041692754915148586879613084
77,1.2.826.0.1.534147.667.2747872357.2023418940983,1.3.6.1.4.1.14519.5.2.1.3320.3273.278591547013998249118155071292
78,1.2.826.0.1.534147.667.2747872357.202341761051569.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.208397619884037475731120365907
79,1.2.826.0.1.534147.667.2747872357.2023410115020540.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.129581558191381046727115118754
80,1.2.826.0.1.534147.667.2747872357.20234185258100.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.180734446075384724796074691535
81,1.2.826.0.1.534147.667.2747872357.2023410104922888.4,1.3.6.1.4.1.14519.5.2.1.6450.2626.187643362445820531002299396025
82,1.2.826.0.1.534147.667.2747872357.2023418122541497,1.3.6.1.4.1.14519.5.2.1.3320.3273.228290172296428533069650299235
83,1.2.826.0.1.534147.667.2747872357.202341844135344,1.3.6.1.4.1.14519.5.2.1.2932.1975.286163095845630643212362400137
84,1.2.826.0.1.534147.667.2747872357.202341851644775.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.285777393888048531955987314771
85,1.2.826.0.1.534147.667.2747872357.202341075841126.4,1.3.6.1.4.1.14519.5.2.1.7085.2626.319528262033369309008695071705
86,1.2.826.0.1.534147.667.2747872357.20234184413207.4,1.3.6.1.4.1.14519.5.2.1.2932.1975.286163095845630643212362400137
87,1.2.826.0.1.534147.667.2747872357.20234171194318,1.3.6.1.4.1.14519.5.2.1.3320.3273.222790087209835257164504008519
88,1.2.826.0.1.534147.667.2747872357.202341863949314.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.174204562006846994671664826947
89,1.2.826.0.1.534147.667.2747872357.202341865044231.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.309521824160653805254980817690
90,1.2.826.0.1.534147.667.2747872357.202341891935647.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.278591547013998249118155071292
91,1.2.826.0.1.534147.667.2747872357.202341811458318.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.731749609509707710521529634482
92,1.2.826.0.1.534147.667.2747872357.20234961151251.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.588816763760227852703736612242
93,1.2.826.0.1.534147.667.2747872357.202341812717286.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.962163137940544766191077843265
94,1.2.826.0.1.534147.667.2747872357.202341010502760.4,1.3.6.1.4.1.14519.5.2.1.6450.2626.187643362445820531002299396025
95,1.2.826.0.1.534147.667.2747872357.202341011535739.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.188210997343468364670884561790
